"","sample","coverage","ctrl_cover","all","mapped","controls","unmapped","unmapped_bad_len"
"1","5-Lower_S4",98.5103390068927,96.4788732394366,27612632,24114350,121356,384798,0
"2","5-Upper_S3",98.0827120551414,93.6619718309859,25710683,22603420,35450,349434,0
"3","T0_S1",98.4034322689548,95.7746478873239,14965508,13170778,23787,28445,0
"4","T12-No-Facs_S2",98.9478126318751,97.1830985915493,17182181,15058370,21434,16416,0
